"CC-2017-09338","920 MORELAND AVE SE, Atlanta, GA, ","Match","Exact","920 MORELAND AVE SE, ATLANTA, GA, 30316","-84.349335,33.729305","17358776","L"
"CC-2017-08753","3086 MIDDLETON RD SW, Atlanta, GA, ","Match","Non_Exact","3086 MIDDLETON RD NW, ATLANTA, GA, 30311","-84.490105,33.75261","640546550","L"
"CC-2017-09337","915 MORELAND AVE SE, Atlanta, GA, ","Match","Exact","915 MORELAND AVE SE, ATLANTA, GA, 30316","-84.34935,33.72951","17358776","R"
"CC-2017-08758","662 SOUTH GRAND AVE NW, Atlanta, GA, ","Match","Exact","662 S GRAND AVE NW, ATLANTA, GA, 30318","-84.46275,33.77302","17339637","L"
"CC-2017-08759","2066 HOLLYWOOD RD NW, Atlanta, GA, ","Match","Exact","2066 HOLLYWOOD RD NW, ATLANTA, GA, 30318","-84.470634,33.811996","17333652","L"
"CC-2017-09339","929 MORELAND AVE SE, Atlanta, GA, ","Match","Exact","929 MORELAND AVE SE, ATLANTA, GA, 30316","-84.34935,33.729164","17358776","R"
"CC-2017-08757","333 AUBURN AVE NE, Atlanta, GA, ","Match","Exact","333 AUBURN AVE NE, ATLANTA, GA, 30303","-84.37683,33.75551","17357188","R"
"CC-2017-09366","1352 BERNARD ST NW, Atlanta, GA, ","Match","Exact","1352 BERNARD ST NW, ATLANTA, GA, 30314","-84.43184,33.755447","17340483","L"
"CC-2017-09367","524 OLD WHEAT ST NE, Atlanta, GA, ","Match","Exact","524 OLD WHEAT ST NE, ATLANTA, GA, 30312","-84.37035,33.755875","17357295","L"
"CC-2017-09364","2185 RANDO LN NW, Atlanta, GA, ","Match","Exact","2185 RANDO LN NW, ATLANTA, GA, 30318","-84.456955,33.817303","17333614","R"
"CC-2017-09365","944 IRA ST SW, Atlanta, GA, ","Match","Exact","944 IRA ST SW, ATLANTA, GA, 30310","-84.4,33.729057","17346063","L"
"CC-2017-09362","376 ST JOHNS AVE SW, Atlanta, GA, ","Match","Exact","376 ST JOHNS AVE SW, ATLANTA, GA, 30315","-84.40146,33.700096","17346773","L"
"CC-2017-09363","380 ST JOHNS AVE SW, Atlanta, GA, ","Match","Exact","380 ST JOHNS AVE SW, ATLANTA, GA, 30315","-84.401505,33.700058","17346773","L"
"CC-2017-09360","2311 VENETIAN DR SW, Atlanta, GA, ","Match","Exact","2311 VENETIAN DR SW, ATLANTA, GA, 30311","-84.4644,33.717422","17340787","R"
"CC-2017-09361","2798 PEEK RD NW, Atlanta, GA, ","Match","Exact","2798 PEEK RD NW, ATLANTA, GA, 30318","-84.48125,33.775593","17339433","L"
"CC-2017-08727","2260 CARVER DR NW, Atlanta, GA, ","Match","Exact","2260 CARVER DR NW, ATLANTA, GA, 30314","-84.46187,33.75994","17339830","L"
"CC-2017-08728","1941 GRANGE DR SE, Atlanta, GA, ","Match","Exact","1941 GRANGE DR SE, ATLANTA, GA, 30315","-84.360504,33.70109","17358662","R"
"CC-2017-08729","3086 MIDDLETON RD SW, Atlanta, GA, ","Match","Non_Exact","3086 MIDDLETON RD NW, ATLANTA, GA, 30311","-84.490105,33.75261","640546550","L"
"CC-2017-08723","267 CANDLER RD SE, Atlanta, GA, ","Match","Exact","267 CANDLER RD SE, ATLANTA, GA, 30317","-84.29119,33.745163","23396354","R"
"CC-2017-08724","1627 RALPH D ABERNATHY BLVD SW, Atlanta, GA, ","No_Match"
"CC-2017-08725","3172 RILMAN RD NW, Atlanta, GA, ","Match","Exact","3172 RILMAN RD NW, ATLANTA, GA, 30327","-84.42014,33.84202","17334808","L"
"CC-2017-08726","481 EAST ONTARIO AVE SW, Atlanta, GA, ","Match","Exact","481 E ONTARIO AVE SW, ATLANTA, GA, 30310","-84.43816,33.741768","17340563","R"
"CC-2017-08720","621 GRADY PL SW, Atlanta, GA, ","Match","Exact","621 GRADY PL SW, ATLANTA, GA, 30310","-84.42658,33.738068","17344973","R"
"CC-2017-09369","0 OLD WHEAT ST, Atlanta, GA, ","No_Match"
"CC-2017-09368","2632 BROWNTOWN RD NW, Atlanta, GA, ","Match","Exact","2632 BROWNTOWN RD NW, ATLANTA, GA, 30318","-84.473885,33.803196","17379449","L"
"CC-2017-08722","1321 OAK ST SW, Atlanta, GA, ","Match","Exact","1321 OAK ST SW, ATLANTA, GA, 30310","-84.430916,33.740513","17341286","R"
"CC-2017-09353","108 WELLINGTON ST SW, Atlanta, GA, ","Match","Exact","108 WELLINGTON ST SW, ATLANTA, GA, 30314","-84.438194,33.75199","17340517","L"
"CC-2017-09354","1935 ALISON CT SW, Atlanta, GA, ","Match","Exact","1935 ALISON CT SW, ATLANTA, GA, 30311","-84.45245,33.700653","610023338","R"
"CC-2017-09355","829 JOSEPH E BOONE BLVD NW, Atlanta, GA, ","No_Match"
"CC-2017-09356","635 MCWILLIAMS RD SE, Atlanta, GA, ","Match","Exact","635 MCWILLIAMS RD SE, ATLANTA, GA, 30315","-84.36822,33.688763","643287866","R"
"CC-2017-09350","4381 LAKERIDGE CIR SW, Atlanta, GA, ","Match","Exact","4381 LAKERIDGE CIR SW, ATLANTA, GA, 30331","-84.53291,33.675735","17337895","R"
"CC-2017-09351","2558 BAKER RD NW, Atlanta, GA, ","Match","Exact","2558 BAKER RD NW, ATLANTA, GA, 30318","-84.470985,33.769478","17339514","L"
"CC-2017-09352","1064 MAYSON TURNER RD NW, Atlanta, GA, ","Match","Exact","1064 MAYSON TURNER RD NW, ATLANTA, GA, 30314","-84.42155,33.761913","17342428","L"
"CC-2017-08738","1725 SHIRLEY ST SW, Atlanta, GA, ","Match","Exact","1725 SHIRLEY ST SW, ATLANTA, GA, 30310","-84.45046,33.737495","17341075","R"
"CC-2017-08739","2955 5TH ST SW, Atlanta, GA, ","Match","Exact","2955 5TH ST SW, ATLANTA, GA, 30315","-84.4006,33.6742","642631902","R"
"CC-2017-08736","1238 PLAZA AVE SW, Atlanta, GA, ","Match","Exact","1238 PLAZA AVE SW, ATLANTA, GA, 30310","-84.42855,33.728115","17341390","L"
"CC-2017-08737","1717 SHIRLEY ST SW, Atlanta, GA, ","Match","Exact","1717 SHIRLEY ST SW, ATLANTA, GA, 30310","-84.45046,33.73757","17341075","R"
"CC-2017-08734","1700 SHIRLEY ST SW, Atlanta, GA, ","Match","Exact","1700 SHIRLEY ST SW, ATLANTA, GA, 30310","-84.45045,33.737724","17341075","L"
"CC-2017-08735","2944 5TH ST SW, Atlanta, GA, ","Match","Exact","2944 5TH ST SW, ATLANTA, GA, 30315","-84.400665,33.674374","642631902","L"
"CC-2017-09358","416 NEWPORT ST NW, Atlanta, GA, ","Match","Exact","416 NEWPORT ST NW, ATLANTA, GA, 30314","-84.41384,33.765987","17342708","L"
"CC-2017-08732","644 KENNOLIA DR SW, Atlanta, GA, ","Match","Exact","644 KENNOLIA DR SW, ATLANTA, GA, 30310","-84.448975,33.737473","17341076","L"
"CC-2017-09357","1316 BOULEVARD SE, Atlanta, GA, ","Match","Exact","1316 BOULEVARD SE, ATLANTA, GA, 30315","-84.36851,33.71926","17358301","L"
